category,name,value,icon
music-genre,Techno,7,techno
music-genre,Rock,8,rock
music-genre,Piano,10,piano
music-genre,Micro Jazz,6,micro_jazz
purchased-music,Digital format,2,headset
purchased-music,Physical format,3,vynil
artists,Classical music,2,piano
artists,Rock & Pop,3,rock
artists,Jazz,2,jazz
artists,DJs,3,DJ
venue,Berghain,6,party
venue,Matrix 2,3,party
venue,Tresor 2,1.7,party
venue,Watergate,1.2,party2
venue,Club der Visionäre,1.1,party2
venue,Kater Blau,1.1,party2
venue1,Marcedez Arena,3,mercedes-benz
category1,Hipster,3,hipster2
category2,Rammstein,2,rammstein
category3,Concert,3,concert
category4,Label,3,label
category5,Electronic,3,electronic
music-genre,Techno,7,techno
music-genre,Rock,8,rock
music-genre,Piano,10,piano
music-genre,Micro Jazz,6,micro_jazz
purchased-music,Digital format,2,headset
purchased-music,Physical format,3,vynil
artists,Classical music,2,piano
artists,Rock & Pop,3,rock
artists,Jazz,2,jazz
artists,DJs,3,DJ
venue,Berghain,6,party
venue,Matrix 2,3,party
venue,Tresor 2,1.7,party
venue,Watergate,1.2,party2
venue,Club der Visionäre,1.1,party2
venue,Kater Blau,1.1,party2
venue1,Marcedez Arena,3,mercedes-benz
category1,Hipster,3,hipster2
category2,Rammstein,5,rammstein
category3,Concert,3,concert
category4,Label,3,label
category5,Electronic,3,electronic
music-genre,Techno,7,techno
music-genre,Rock,8,rock
music-genre,Piano,10,piano
music-genre,Micro Jazz,6,micro_jazz
purchased-music,Digital format,2,headset
purchased-music,Physical format,3,vynil
artists,Classical music,2,piano
artists,Rock & Pop,3,rock
artists,Jazz,2,jazz
artists,DJs,3,DJ
venue,Berghain,6,party
venue,Matrix 2,3,party
venue,Tresor 2,1.7,party
venue,Watergate,1.2,party2
venue,Club der Visionäre,1.1,party2
venue,Kater Blau,1.1,party2
venue1,Marcedez Arena,3,mercedes-benz
category1,Hipster,3,hipster2
category2,Rammstein,3,rammstein
category3,Concert,3,concert
category4,Label,3,label
category5,Electronic,3,electronic
